"Setor";"Emitente";"Nº Fatura / ATCUD";"Tipo";"Data Emissão";"Total";"IVA";"Base Tributável";"Situação";"Comunicação  Emitente";"Comunicação  Adquirente"
"Outros";"506848558 - Bcm Bricolage S A";"FT 20250021201/005379 / JJXJX4J5-005379";"Fatura";"2025-06-14";"2.069,22 €";"386,93 €";"1.682,29 €";"Registado";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"NC 20250021203/004833 / JJXX9K3X-004833";"Nota de crédito";"2025-06-14";"2.069,22 €";"386,93 €";"1.682,29 €";"Registado";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"FT 20250020701/009489 / JJXMXWCS-009489";"Fatura";"2025-05-24";"2.069,22 €";"386,93 €";"1.682,29 €";"Registado";"X";""
"";"503630330 - Worten - Equipamentos Para o Lar S A";"FT CDT007/066799 / JF594YV7-066799";"Fatura";"2025-07-26";"2.283,44 €";"368,83 €";"1.914,61 €";"Pendente";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"FS 20250026402/027955 / JJXYM2R4-027955";"Fatura simplificada";"2025-07-24";"372,82 €";"69,71 €";"303,11 €";"Registado";"X";""
"";"505416654 - Ikea Portugal Moveis e Decoração Lda";"FAC 3670702025/0009133 / JJP52DBZ-0009133";"Fatura";"2025-07-19";"316,70 €";"59,21 €";"257,49 €";"Pendente";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"NC 20250028103/003183 / JJXV9XJT-003183";"Nota de crédito";"2025-07-15";"257,86 €";"48,22 €";"209,64 €";"Registado";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"FT 20250028101/004537 / JJXFX4VS-004537";"Fatura";"2025-07-15";"257,86 €";"48,22 €";"209,64 €";"Registado";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"FT 20250022801/013116 / JJX3X452-013116";"Fatura";"2025-07-06";"257,86 €";"48,22 €";"209,64 €";"Registado";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"FT 20250020901/023657 / JJXPXW8R-023657";"Fatura";"2025-07-25";"220,91 €";"41,31 €";"179,60 €";"Registado";"X";""
"Outros";"506848558 - Bcm Bricolage S A";"NC 20250022203/017186 / JJXK9KWX-017186";"Nota de crédito";"2025-07-25";"207,39 €";"38,78 €";"168,61 €";"Registado";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680042212212020/313112 / JFVD3FPF-313112";"Fatura simplificada";"2025-11-02";"247,54 €";"30,43 €";"217,11 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680042212212020/303016 / JFVD3FPF-303016";"Fatura simplificada";"2025-09-27";"196,61 €";"26,23 €";"170,38 €";"Pendente";"X";""
"";"503630330 - Worten - Equipamentos Para o Lar S A";"FT CDT001/068106 / JF5X4YNR-068106";"Fatura";"2025-07-23";"139,98 €";"26,18 €";"113,80 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680022212212020/256106 / JFV73FG5-256106";"Fatura simplificada";"2025-09-10";"185,79 €";"23,87 €";"161,92 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680042212212020/286897 / JFVD3FPF-286897";"Fatura simplificada";"2025-08-06";"195,91 €";"23,40 €";"172,51 €";"Pendente";"X";""
"";"500829993 - Pingo Doce Distribuicao Alimentar Sa";"FS 08680652212212020/280254 / JFVN3FY2-280254";"Fatura simplificada";"2025-12-01";"169,16 €";"23,16 €";"146,00 €";"Pendente";"X";""
"Outros";"510183743 - Guess Portugal Lda";"FS 287VDA/211736 / JF28J6ZS-211736";"Fatura simplificada";"2025-11-29";"118,60 €";"22,18 €";"96,42 €";"Registado";"X";""
"Outros";"507170490 - Lojas Primark Portugal - Exploração Gestão e Administração de Espaços Comerciais S A";"FS 422014003/28805 / JJRSGWS5-28805";"Fatura simplificada";"2025-10-16";"105,30 €";"19,69 €";"85,61 €";"Registado";"X";""
"Outros";"510183743 - Guess Portugal Lda";"FS 287VDA/213652 / JF28J6ZS-213652";"Fatura simplificada";"2025-12-10";"100,20 €";"18,74 €";"81,46 €";"Registado";"X";""
"";"503630330 - Worten - Equipamentos Para o Lar S A";"NC CDT008/094423 / JF5H4YVD-094423";"Nota de crédito";"2025-08-08";"99,99 €";"18,70 €";"81,29 €";"Pendente";"X";""
"Outros";"510183743 - Guess Portugal Lda";"NC 287VDA/123509 / JF2RJ5K8-123509";"Nota de crédito";"2025-12-10";"99,90 €";"18,68 €";"81,22 €";"Registado";"X";""
"Outros";"510183743 - Guess Portugal Lda";"NC 287VDA/123510 / JF2RJ5K8-123510";"Nota de crédito";"2025-12-10";"99,90 €";"18,68 €";"81,22 €";"Registado";"X";""
"Outros";"510183743 - Guess Portugal Lda";"FS 287VDA/213649 / JF28J6ZS-213649";"Fatura simplificada";"2025-12-10";"99,90 €";"18,68 €";"81,22 €";"Registado";"X";""
